lga_code,year,population
10050,2001,45265
10180,2001,27906
10250,2001,37856
10300,2001,2751
10470,2001,35504
10500,2001,129075
10550,2001,30425
10600,2001,12634
10650,2001,8075
10750,2001,263103
10800,2001,6603
10850,2001,6478
10900,2001,76528
10950,2001,3156
11150,2001,3919
11200,2001,2148
11250,2001,20929
11300,2001,30393
11350,2001,29453
11400,2001,12447
11450,2001,45167
11500,2001,149188
11520,2001,61940
11570,2001,307592
11600,2001,3290
11650,2001,294596
11700,2001,2432
11720,2001,46823
11730,2001,48247
11750,2001,4990
11800,2001,62582
12000,2001,4090
12150,2001,4797
12160,2001,11397
12350,2001,12989
12380,2001,171200
12390,2001,47176
12700,2001,8338
12730,2001,10074
12750,2001,33639
12850,2001,187825
12870,2001,12121
12900,2001,10062
12930,2001,125777
12950,2001,4761
13010,2001,8818
13310,2001,26401
13340,2001,10455
13450,2001,24412
13550,2001,12306
13660,2001,5716
13800,2001,62412
13850,2001,3620
13910,2001,18014
14000,2001,132644
14100,2001,13296
14170,2001,166693
14220,2001,16784
14300,2001,5859
14350,2001,27164
14400,2001,19793
14500,2001,106965
14550,2001,9739
14600,2001,7651
14650,2001,186353
14700,2001,31880
14750,2001,11832
14850,2001,42721
14870,2001,20451
14900,2001,158027
14920,2001,7977
14950,2001,3550
15050,2001,56055
15240,2001,81291
15270,2001,22003
15300,2001,16108
15350,2001,27680
15520,2001,10997
15560,2001,4548
15650,2001,15099
15700,2001,18026
15750,2001,14422
15800,2001,6686
15850,2001,7060
15900,2001,141001
15950,2001,58337
15990,2001,229816
16100,2001,5257
16150,2001,36701
16200,2001,14927
16260,2001,170101
16350,2001,176277
16380,2001,64960
16400,2001,58509
16490,2001,44289
16550,2001,124456
16610,2001,21014
16700,2001,98516
16900,2001,59383
16950,2001,86856
17000,2001,21066
17040,2001,19440
17080,2001,15084
17100,2001,29253
17150,2001,212458
17200,2001,128901
17310,2001,53557
17350,2001,6288
17400,2001,6842
17420,2001,117301
17550,2001,73980
17620,2001,13430
17640,2001,7210
17650,2001,6052
17750,2001,56280
17850,2001,3282
17900,2001,8261
17950,2001,3293
18020,2001,10762
18050,2001,62853
18100,2001,3826
18200,2001,7156
18250,2001,61399
18350,2001,42384
18400,2001,38178
18450,2001,188275
18500,2001,52677
18710,2001,12002
19399,2001,1210
20110,2001,12709
20260,2001,11544
20570,2001,82333
20660,2001,117967
20740,2001,25243
20830,2001,35850
20910,2001,88262
21010,2001,13886
21110,2001,156246
21180,2001,167213
21270,2001,7220
21370,2001,36011
21450,2001,46720
21610,2001,180444
21670,2001,12888
21750,2001,20686
21830,2001,17293
21890,2001,127067
22110,2001,38843
22170,2001,113306
22250,2001,11873
22310,2001,122346
22410,2001,20083
22490,2001,14872
22620,2001,89071
22670,2001,127724
22750,2001,191534
22830,2001,57610
22910,2001,14268
22980,2001,6496
23110,2001,82854
23190,2001,18305
23270,2001,135147
23350,2001,14493
23430,2001,133063
23670,2001,146525
23810,2001,69573
23940,2001,8473
24130,2001,37325
24210,2001,113194
24250,2001,6718
24330,2001,60848
24410,2001,99662
24600,2001,55398
24650,2001,52504
24700,2001,135540
24780,2001,48865
24850,2001,27526
24900,2001,26404
24970,2001,162135
25060,2001,104793
25150,2001,24839
25340,2001,131574
25430,2001,16881
25490,2001,15525
25620,2001,13257
25710,2001,60444
25810,2001,12857
25900,2001,80054
25990,2001,6541
26080,2001,3226
26170,2001,25762
26260,2001,16873
26350,2001,89424
26430,2001,9558
26490,2001,20556
26610,2001,21025
26670,2001,6216
26700,2001,26260
26730,2001,29180
26810,2001,40835
26890,2001,4808
26980,2001,146178
27070,2001,117390
27170,2001,31964
27260,2001,86604
27350,2001,68522
27450,2001,141674
27630,2001,8184
29399,2001,451
30250,2001,1074
30300,2001,5473
30370,2001,15534
30410,2001,3483
30450,2001,454
30760,2001,2385
30900,2001,566
31000,2001,885787
31750,2001,450
31820,2001,77430
31900,2001,18158
