dateID,year,month
202412,2024,12
202411,2024,11
202410,2024,10
20249,2024,9
20248,2024,8
20247,2024,7
20246,2024,6
20245,2024,5
20244,2024,4
20243,2024,3
20242,2024,2
20241,2024,1
202312,2023,12
202311,2023,11
202310,2023,10
20239,2023,9
20238,2023,8
20237,2023,7
20236,2023,6
20235,2023,5
20234,2023,4
20233,2023,3
20232,2023,2
20231,2023,1
202212,2022,12
202211,2022,11
202210,2022,10
20229,2022,9
20228,2022,8
20227,2022,7
20226,2022,6
20225,2022,5
20224,2022,4
20223,2022,3
20222,2022,2
20221,2022,1
202112,2021,12
202111,2021,11
202110,2021,10
20219,2021,9
20218,2021,8
20217,2021,7
20216,2021,6
20215,2021,5
20214,2021,4
20213,2021,3
20212,2021,2
20211,2021,1
202012,2020,12
202011,2020,11
202010,2020,10
20209,2020,9
20208,2020,8
20207,2020,7
20206,2020,6
20205,2020,5
20204,2020,4
20203,2020,3
20202,2020,2
20201,2020,1
201912,2019,12
201911,2019,11
201910,2019,10
20199,2019,9
20198,2019,8
20197,2019,7
20196,2019,6
20195,2019,5
20194,2019,4
20193,2019,3
20192,2019,2
20191,2019,1
201812,2018,12
201811,2018,11
201810,2018,10
20189,2018,9
20188,2018,8
20187,2018,7
20186,2018,6
20185,2018,5
20184,2018,4
20183,2018,3
20182,2018,2
20181,2018,1
201712,2017,12
201711,2017,11
201710,2017,10
20179,2017,9
20178,2017,8
20177,2017,7
20176,2017,6
20175,2017,5
20174,2017,4
20173,2017,3
20172,2017,2
20171,2017,1
201612,2016,12
201611,2016,11
201610,2016,10
20169,2016,9
20168,2016,8
20167,2016,7
20166,2016,6
20165,2016,5
20164,2016,4
20163,2016,3
20162,2016,2
20161,2016,1
201512,2015,12
201511,2015,11
201510,2015,10
20159,2015,9
20158,2015,8
20157,2015,7
20156,2015,6
20155,2015,5
20154,2015,4
20153,2015,3
20152,2015,2
20151,2015,1
201412,2014,12
201411,2014,11
201410,2014,10
20149,2014,9
20148,2014,8
20147,2014,7
20146,2014,6
20145,2014,5
20144,2014,4
20143,2014,3
20142,2014,2
20141,2014,1
201312,2013,12
201311,2013,11
201310,2013,10
20139,2013,9
20138,2013,8
20137,2013,7
20136,2013,6
20135,2013,5
20134,2013,4
20133,2013,3
20132,2013,2
20131,2013,1
201212,2012,12
201211,2012,11
201210,2012,10
20129,2012,9
20128,2012,8
20127,2012,7
20126,2012,6
20125,2012,5
20124,2012,4
20123,2012,3
20122,2012,2
20121,2012,1
201112,2011,12
201111,2011,11
201110,2011,10
20119,2011,9
20118,2011,8
20117,2011,7
20116,2011,6
20115,2011,5
20114,2011,4
20113,2011,3
20112,2011,2
20111,2011,1
201012,2010,12
201011,2010,11
201010,2010,10
20109,2010,9
20108,2010,8
20107,2010,7
20106,2010,6
20105,2010,5
20104,2010,4
20103,2010,3
20102,2010,2
20101,2010,1
200912,2009,12
200911,2009,11
200910,2009,10
20099,2009,9
20098,2009,8
20097,2009,7
20096,2009,6
20095,2009,5
20094,2009,4
20093,2009,3
20092,2009,2
20091,2009,1
200812,2008,12
200811,2008,11
200810,2008,10
20089,2008,9
20088,2008,8
20087,2008,7
20086,2008,6
20085,2008,5
20084,2008,4
20083,2008,3
20082,2008,2
20081,2008,1
200712,2007,12
200711,2007,11
200710,2007,10
20079,2007,9
20078,2007,8
20077,2007,7
20076,2007,6
20075,2007,5
20074,2007,4
20073,2007,3
20072,2007,2
20071,2007,1
200612,2006,12
200611,2006,11
200610,2006,10
20069,2006,9
20068,2006,8
20067,2006,7
20066,2006,6
20065,2006,5
20064,2006,4
20063,2006,3
20062,2006,2
20061,2006,1
200512,2005,12
200511,2005,11
200510,2005,10
20059,2005,9
20058,2005,8
20057,2005,7
20056,2005,6
20055,2005,5
20054,2005,4
20053,2005,3
20052,2005,2
20051,2005,1
200412,2004,12
200411,2004,11
200410,2004,10
20049,2004,9
20048,2004,8
20047,2004,7
20046,2004,6
20045,2004,5
20044,2004,4
20043,2004,3
20042,2004,2
20041,2004,1
200312,2003,12
200311,2003,11
200310,2003,10
20039,2003,9
20038,2003,8
20037,2003,7
20036,2003,6
20035,2003,5
20034,2003,4
20033,2003,3
20032,2003,2
20031,2003,1
200212,2002,12
200211,2002,11
200210,2002,10
20029,2002,9
20028,2002,8
20027,2002,7
20026,2002,6
20025,2002,5
20024,2002,4
20023,2002,3
20022,2002,2
20021,2002,1
200112,2001,12
200111,2001,11
200110,2001,10
20019,2001,9
20018,2001,8
20017,2001,7
20016,2001,6
20015,2001,5
20014,2001,4
20013,2001,3
20012,2001,2
20011,2001,1
200012,2000,12
200011,2000,11
200010,2000,10
20009,2000,9
20008,2000,8
20007,2000,7
20006,2000,6
20005,2000,5
20004,2000,4
20003,2000,3
20002,2000,2
20001,2000,1
199912,1999,12
199911,1999,11
199910,1999,10
19999,1999,9
19998,1999,8
19997,1999,7
19996,1999,6
19995,1999,5
19994,1999,4
19993,1999,3
19992,1999,2
19991,1999,1
199812,1998,12
199811,1998,11
199810,1998,10
19989,1998,9
19988,1998,8
19987,1998,7
19986,1998,6
19985,1998,5
19984,1998,4
19983,1998,3
19982,1998,2
19981,1998,1
199712,1997,12
199711,1997,11
199710,1997,10
19979,1997,9
19978,1997,8
19977,1997,7
19976,1997,6
19975,1997,5
19974,1997,4
19973,1997,3
19972,1997,2
19971,1997,1
199612,1996,12
199611,1996,11
199610,1996,10
19969,1996,9
19968,1996,8
19967,1996,7
19966,1996,6
19965,1996,5
19964,1996,4
19963,1996,3
19962,1996,2
19961,1996,1
199512,1995,12
199511,1995,11
199510,1995,10
19959,1995,9
19958,1995,8
19957,1995,7
19956,1995,6
19955,1995,5
19954,1995,4
19953,1995,3
19952,1995,2
19951,1995,1
199412,1994,12
199411,1994,11
199410,1994,10
19949,1994,9
19948,1994,8
19947,1994,7
19946,1994,6
19945,1994,5
19944,1994,4
19943,1994,3
19942,1994,2
19941,1994,1
199312,1993,12
199311,1993,11
199310,1993,10
19939,1993,9
19938,1993,8
19937,1993,7
19936,1993,6
19935,1993,5
19934,1993,4
19933,1993,3
19932,1993,2
19931,1993,1
199212,1992,12
199211,1992,11
199210,1992,10
19929,1992,9
19928,1992,8
