crash_id,victim_number,state,month,year,dayweek,time,crash_type,bus_involvement,heavy_rigid_truck_involvement,articulated_truck_involvement,speed_limit,lga_name,road_type,christmas_period,easter_period,age_group,time_of_day,time_cat,holiday,vehicle_type_involved,lga_code,dateID,rushID,ageID,daytimeID,road_typeID,speed_limitID,holidayID,vehicle_typeID
20241115,1,NSW,12,2024,Friday,04:00:00,Single,No,No,No,Very High,Wagga Wagga,Arterial Road,Yes,No,65_to_74,Night,Not Rush,Christmas,No Heavy Vehicle Involved,17750,202412,1.0,5.0,1.0,1.0,1.0,1,1.0
20241125,1,NSW,12,2024,Friday,06:15:00,Single,No,No,No,High,Hawkesbury,Local Road,No,No,17_to_25,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,13800,202412,1.0,2.0,2.0,2.0,2.0,3,1.0
20246013,1,Tas,12,2024,Friday,09:43:00,Multiple,No,No,No,Med,Northern Midlands,Local Road,Yes,No,26_to_39,Day,Not Rush,Christmas,No Heavy Vehicle Involved,64610,202412,1.0,3.0,2.0,2.0,3.0,1,1.0
20241002,1,NSW,12,2024,Friday,10:35:00,Multiple,No,No,No,Very High,Armidale Regional,National or State Highway,No,No,26_to_39,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,10180,202412,1.0,3.0,2.0,3.0,1.0,3,1.0
20242261,1,Vic,12,2024,Friday,11:30:00,Multiple,,,,,,,No,No,40_to_64,Day,Not Rush,NoHoliday,,,202412,1.0,4.0,2.0,,,3,
20243185,1,Qld,12,2024,Friday,13:00:00,Multiple,No,No,No,Very High,Lockyer Valley,National or State Highway,No,No,40_to_64,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,34580,202412,1.0,4.0,2.0,3.0,1.0,3,1.0
20244016,1,SA,12,2024,Friday,13:39:00,Single,No,No,No,Very High,Wakefield,Sub-arterial Road,Yes,No,40_to_64,Day,Not Rush,Christmas,No Heavy Vehicle Involved,48130,202412,1.0,4.0,2.0,5.0,1.0,1,1.0
20245001,1,WA,12,2024,Friday,17:15:00,Single,No,No,No,Very High,,,No,No,65_to_74,Day,Rush,NoHoliday,No Heavy Vehicle Involved,,202412,2.0,5.0,2.0,,1.0,3,1.0
20243168,1,Qld,12,2024,Friday,19:00:00,Multiple,No,No,No,High,Southern Downs,Local Road,No,No,26_to_39,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,36660,202412,1.0,3.0,1.0,2.0,2.0,3,1.0
20246003,1,Tas,12,2024,Friday,19:30:00,Multiple,No,No,No,Med,Brighton,Local Road,No,No,17_to_25,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,60410,202412,1.0,2.0,1.0,2.0,3.0,3,1.0
