Year;Official Code State;Official Name State;Official Code Local Government Area;Official Name Local Government Area;Iso 3166-3 Area Code;Type;Long Official Name Local Government Area
2021;1;New South Wales;10650;Berrigan;AUS;local government area;Berrigan
2021;1;New South Wales;10850;Blayney;AUS;local government area;Blayney
2021;1;New South Wales;11500;Campbelltown;AUS;local government area;Campbelltown (NSW)
2021;1;New South Wales;11700;Central Darling;AUS;local government area;Central Darling
2021;1;New South Wales;15990;Northern Beaches;AUS;local government area;Northern Beaches
2021;2;Victoria;21750;Colac Otway;AUS;local government area;Colac Otway
2021;3;Queensland;30410;Barcaldine;AUS;local government area;Barcaldine
2021;4;South Australia;45120;Northern Areas;AUS;local government area;Northern Areas
2021;4;South Australia;46090;Port Augusta;AUS;local government area;Port Augusta
2021;5;Western Australia;52800;Derby-West Kimberley;AUS;local government area;Derby-West Kimberley
2021;5;Western Australia;53570;Gingin;AUS;local government area;Gingin
2021;5;Western Australia;55600;Moora;AUS;local government area;Moora
2021;5;Western Australia;57840;South Perth;AUS;local government area;South Perth
2021;6;Tasmania;64010;Launceston;AUS;local government area;Launceston
2021;7;Northern Territory;70620;Central Desert;AUS;local government area;Central Desert
2021;1;New South Wales;11300;Burwood;AUS;local government area;Burwood
2021;1;New South Wales;11750;Cobar;AUS;local government area;Cobar
2021;1;New South Wales;14000;Hornsby;AUS;local government area;Hornsby
2021;1;New South Wales;14750;Leeton;AUS;local government area;Leeton
2021;1;New South Wales;17200;Sydney;AUS;local government area;Sydney
2021;2;Victoria;22670;Greater Dandenong;AUS;local government area;Greater Dandenong
2021;2;Victoria;22910;Hepburn;AUS;local government area;Hepburn
2021;2;Victoria;24410;Maroondah;AUS;local government area;Maroondah
2021;2;Victoria;24850;Mitchell;AUS;local government area;Mitchell
2021;3;Queensland;33620;Gympie;AUS;local government area;Gympie
2021;3;Queensland;35670;Napranum;AUS;local government area;Napranum
2021;3;Queensland;36660;Southern Downs;AUS;local government area;Southern Downs
2021;4;South Australia;40120;Adelaide Hills;AUS;local government area;Adelaide Hills
2021;4;South Australia;43360;Kingston;AUS;local government area;Kingston (SA)
2021;4;South Australia;43710;Lower Eyre Peninsula;AUS;local government area;Lower Eyre Peninsula
2021;5;Western Australia;53430;Fremantle;AUS;local government area;Fremantle
2021;5;Western Australia;54620;Kondinin;AUS;local government area;Kondinin
2021;5;Western Australia;55950;Mukinbudin;AUS;local government area;Mukinbudin
2021;5;Western Australia;56230;Murray;AUS;local government area;Murray
2021;5;Western Australia;59360;Yilgarn;AUS;local government area;Yilgarn
2021;1;New South Wales;11520;Canada Bay;AUS;local government area;Canada Bay
2021;1;New South Wales;12930;Georges River;AUS;local government area;Georges River
2021;1;New South Wales;13340;Greater Hume Shire;AUS;local government area;Greater Hume Shire
2021;1;New South Wales;14300;Junee;AUS;local government area;Junee
2021;1;New South Wales;17150;Sutherland Shire;AUS;local government area;Sutherland Shire
2021;1;New South Wales;18200;Wentworth;AUS;local government area;Wentworth
2021;2;Victoria;22110;East Gippsland;AUS;local government area;East Gippsland
2021;2;Victoria;25990;Pyrenees;AUS;local government area;Pyrenees
2021;4;South Australia;47290;Southern Mallee;AUS;local government area;Southern Mallee
2021;5;Western Australia;50840;Bridgetown-Greenbushes;AUS;local government area;Bridgetown-Greenbushes
2021;5;Western Australia;51310;Cambridge;AUS;local government area;Cambridge
2021;5;Western Australia;56160;Murchison;AUS;local government area;Murchison
2021;5;Western Australia;56300;Nannup;AUS;local government area;Nannup
2021;5;Western Australia;56460;Narrogin;AUS;local government area;Narrogin
2021;5;Western Australia;57910;Stirling;AUS;local government area;Stirling
2021;5;Western Australia;59310;Wongan-Ballidu;AUS;local government area;Wongan-Ballidu
2021;6;Tasmania;60210;Break O'Day;AUS;local government area;Break O'Day
2021;1;New South Wales;12900;Forbes;AUS;local government area;Forbes
2021;1;New South Wales;14170;Inner West;AUS;local government area;Inner West
2021;1;New South Wales;14500;Ku-ring-gai;AUS;local government area;Ku-ring-gai
2021;1;New South Wales;15350;Mosman;AUS;local government area;Mosman
2021;2;Victoria;20910;Bayside;AUS;local government area;Bayside (Vic.)
2021;2;Victoria;22750;Greater Geelong;AUS;local government area;Greater Geelong
2021;2;Victoria;24650;Melton;AUS;local government area;Melton
2021;2;Victoria;26350;Stonnington;AUS;local government area;Stonnington
2021;3;Queensland;31750;Bulloo;AUS;local government area;Bulloo
2021;3;Queensland;33360;Gladstone;AUS;local government area;Gladstone
2021;3;Queensland;34530;Livingstone;AUS;local government area;Livingstone
2021;3;Queensland;34580;Lockyer Valley;AUS;local government area;Lockyer Valley
2021;3;Queensland;37550;Woorabinda;AUS;local government area;Woorabinda
2021;4;South Australia;40310;Barossa;AUS;local government area;Barossa
2021;4;South Australia;41750;Elliston;AUS;local government area;Elliston
2021;4;South Australia;45040;Murray Bridge;AUS;local government area;Murray Bridge
2021;4;South Australia;47700;Tea Tree Gully;AUS;local government area;Tea Tree Gully
2021;5;Western Australia;50350;Bassendean;AUS;local government area;Bassendean
2021;5;Western Australia;52030;Coorow;AUS;local government area;Coorow
2021;5;Western Australia;52730;Denmark;AUS;local government area;Denmark
2021;5;Western Australia;53990;Harvey;AUS;local government area;Harvey
2021;5;Western Australia;55180;Manjimup;AUS;local government area;Manjimup
2021;5;Western Australia;55530;Mingenew;AUS;local government area;Mingenew
2021;5;Western Australia;55810;Mount Magnet;AUS;local government area;Mount Magnet
2021;6;Tasmania;60410;Brighton;AUS;local government area;Brighton
2021;6;Tasmania;61010;Central Highlands;AUS;local government area;Central Highlands (Tas.)
2021;6;Tasmania;65010;Southern Midlands;AUS;local government area;Southern Midlands
2021;1;New South Wales;11150;Bourke;AUS;local government area;Bourke
2021;1;New South Wales;12000;Coolamon;AUS;local government area;Coolamon
